nappi_code,method,atc_code,atc_class_desc,confidence,source_field,source_value,alternatives
3001570,exact,N02BE01,paracetamol,1.0000,generic_name,Paracetamol,
3001865,exact,N02BE01,paracetamol,1.0000,generic_name,Paracetamol,
3000019,exact,R06AB04,chlorphenamine,1.0000,generic_name,Chlorphenamine,
700919,exact,J01CA04,amoxicillin,1.0000,generic_name,Amoxicillin,
716156,exact,J01CA04,amoxicillin,1.0000,generic_name,Amoxicillin,
793248,exact,C10AA05,atorvastatin,1.0000,generic_name,Atorvastatin,
712979,exact,A10BA02,metformin,1.0000,generic_name,Metformin,
714998,exact,C08CA01,amlodipine,1.0000,generic_name,Amlodipine,
768987,exact,C09AA03,lisinopril,1.0000,generic_name,Lisinopril,
786705,exact,C09CA01,losartan,1.0000,generic_name,Losartan,
3005143,exact,A02BC05,esomeprazole,1.0000,generic_name,Esomeprazole,
3004521,exact,C03CA01,furosemide,1.0000,generic_name,Furosemide,
702459,exact,N02AX02,tramadol,1.0000,generic_name,Tramadol,
3004125,exact,C10AA01,simvastatin,1.0000,generic_name,Simvastatin,
721336,exact,B01AA03,warfarin,1.0000,generic_name,Warfarin,
716289,exact,L02BA01,tamoxifen,1.0000,generic_name,Tamoxifen,
3002660,exact,L02BX03,abiraterone,1.0000,generic_name,Abiraterone cipla,
715703,exact,L02BG03,anastrozole,1.0000,generic_name,Anastrozole,
715705,exact,L02BB03,bicalutamide,1.0000,generic_name,Bicalutamide,
719547,exact,N06AB10,escitalopram,1.0000,generic_name,Escitalopram,
719548,exact,N06AB10,escitalopram,1.0000,generic_name,Escitalopram,
715704,exact,L02BG04,letrozole,1.0000,generic_name,Letrozole,
714427,exact,A10BA02,metformin,1.0000,generic_name,Metformin,
714426,exact,A10BA02,metformin,1.0000,generic_name,Metformin,
718136,exact,L01AX03,temozolomide,1.0000,generic_name,Temozolomide,
718135,exact,L01AX03,temozolomide,1.0000,generic_name,Temozolomide,
718134,exact,L01AX03,temozolomide,1.0000,generic_name,Temozolomide,
718133,exact,L01AX03,temozolomide,1.0000,generic_name,Temozolomide,
720866,exact,J05AF06,abacavir,1.0000,generic_name,Abacavir,
719128,exact,M04AA01,allopurinol,1.0000,generic_name,Allopurinol,
715347,exact,J05AF06,abacavir,1.0000,generic_name,Abacavir,
800252,exact,A02BA01,cimetidine,1.0000,generic_name,Cimetidine,
811459,exact,A02BA01,cimetidine,1.0000,generic_name,Cimetidine,
808954,exact,R06AE03,cyclizine,1.0000,generic_name,Cyclizine,
