NAPPI Code,Brand Name,Generic Name,Schedule,Strength/Dosage Form,Ingredients
3001570,Panado Tablets,Paracetamol,S0,500mg Tablet,Paracetamol 500mg
714467,Grandpa Powders,Paracetamol + Aspirin + Caffeine,S1,1g Powder,Paracetamol 320mg + Aspirin 400mg + Caffeine 64mg
701411,Augmentin Tablets,Amoxicillin + Clavulanic Acid,S3,625mg Tablet,Amoxicillin 500mg + Clavulanic Acid 125mg
700919,Betamox Capsules,Amoxicillin,S3,500mg Capsule,Amoxicillin 500mg
707037,Stopayne Tablets,Ibuprofen + Paracetamol,S2,200mg/500mg Tablet,Ibuprofen 200mg + Paracetamol 500mg
3002116,Brufen Tablets,Ibuprofen,S1,400mg Tablet,Ibuprofen 400mg
793248,Lipitor Tablets,Atorvastatin,S4,20mg Tablet,Atorvastatin 20mg
712979,Glucophage Tablets,Metformin,S3,850mg Tablet,Metformin HCl 850mg
714998,Norvasc Tablets,Amlodipine,S3,5mg Tablet,Amlodipine Besylate 5mg
768987,Zestril Tablets,Lisinopril,S3,10mg Tablet,Lisinopril 10mg
711618,Mybulen Syrup,Ibuprofen,S2,100mg/5ml Syrup,Ibuprofen 100mg per 5ml
8052112,Emla Cream,Lidocaine + Prilocaine,S2,5% Cream,Lidocaine 2.5% + Prilocaine 2.5%
707636,Voltaren Tablets,Diclofenac,S2,50mg Tablet,Diclofenac Sodium 50mg
3000019,Allergex Tablets,Chlorphenamine,S1,4mg Tablet,Chlorphenamine Maleate 4mg
3005909,Bactrim DS Tablets,Sulfamethoxazole + Trimethoprim,S3,800mg/160mg Tablet,Sulfamethoxazole 800mg + Trimethoprim 160mg
716156,Amoxil Capsules,Amoxicillin,S3,250mg Capsule,Amoxicillin 250mg
3001865,Adco-Dol Tablets,Paracetamol,S0,500mg Tablet,Paracetamol 500mg
786705,Cozaar Tablets,Losartan,S3,50mg Tablet,Losartan Potassium 50mg
3005143,Nexium Tablets,Esomeprazole,S3,40mg Tablet,Esomeprazole 40mg
705407,Zithromax Tablets,Azithromycin,S3,500mg Tablet,Azithromycin 500mg
